Start Timestamp;End Timestamp;Transcript
00:00,000;00:01,600;"*phone rings*"
00:01,600;00:03,360;"""Only play!"""
00:03,360;00:04,360;"*sigh*"
00:04,360;00:05,440;"""With friends"""
00:05,440;00:06,600;"*growls*"
00:06,600;00:07,800;"""Hello little friend"""
00:07,800;00:09,480;"""Hello little friend of one's"""
00:09,480;00:10,400;"""Let's joke him out!"""
00:10,400;00:11,400;"""Yeah!"""
00:11,400;00:12,000;"*laughs*"
00:12,000;00:15,920;"""Dude, what- how can we confit into these tiny little crevices?"""
00:15,920;00:16,480;"""Holy shit."""
00:16,480;00:20,240;"""Because our hitbox, I think, is still only the size of a normal dude."""
00:20,240;00:20,760;"""That's silly."""
00:20,760;00:22,600;"""Pleilish-dish to tell to them."""
00:22,600;00:24,040;"*laughs*"
00:24,040;00:25,040;"*laughs*"
00:25,040;00:25,960;"*laughs*"
00:25,960;00:26,960;"""It's good shit."""
00:26,960;00:29,200;"""This wither is a big problem."""
00:29,200;00:31,200;"Do you want to teleport to somewhere else in the map?"
00:31,200;00:33,200;"You see all those silhouettes down there?"
00:33,200;00:35,200;"There's a gun down here."
00:35,200;00:37,200;"Let's get dig through the earth."
00:37,200;00:39,200;"Oh god, Zach!"
00:39,200;00:41,200;"We dug, look."
00:41,200;00:43,200;"Oh my god!"
00:43,200;00:45,200;"Oh fuck!"
00:45,200;00:47,200;"You just dug, you just dug through the bottom."
00:47,200;00:51,200;"Zach, you just put a hole in the bottom of the friggin' arrow."
00:58,200;01:00,860;"I want to see what this guy's camera looks like"
01:00,860;01:04,940;"Flooner guys house is the end of dragon"
01:04,940;01:08,460;"Followed you"
01:08,460;01:19,260;"I hit him out of the air twice. It was awesome. Yeah, exactly still online"
01:19,260;01:25,940;"Dude this is the most fun in the world, whoa, dude. I'm juggling these guys"
01:27,380;01:32,000;"This is amazing you created you created a friggin all of them"
01:32,000;01:37,600;"Trying to juggle them again mid-air"
01:37,600;01:40,900;"This might be an abusive power. I'm not sure I"
01:40,900;01:44,980;"Mean of course it is"
01:44,980;01:51,880;"When we came smashing through the roof. Yeah, I'd have given anything to see what that looked like to them"
01:51,880;01:56,760;"But Zach when you just started tearing started like your fireball"
01:56,760;02:03,380;"Did you I do it all the damage no the dragon age has begun"
02:03,380;02:10,220;"What I scream did you guys see that pop up? Yeah? Yeah, there's like yeah"
02:10,220;02:13,280;"What's triggered that?"
02:13,280;02:22,440;"I like Chris's theory"
02:22,440;02:29,440;"the"
02:29,440;02:31,640;"we're making the t_p_s_"
02:31,640;02:38,640;"go through the roof"
02:38,640;02:47,280;"the tumor emeralds are lost but who's doing that"
02:47,280;02:48,720;"Chris are you doing that?"
02:48,720;02:50,880;"No, I think it's like a beacon that they're doing."
02:50,880;02:56,480;"This is unfair dude, we should fly somewhere."
02:56,480;02:57,680;"We should give these guys a chance"
02:57,680;02:58,880;"and like come back in a second."
02:58,880;02:59,800;"Yeah, yeah."
02:59,800;03:00,640;"(laughs)"
03:00,640;03:01,840;"All right, let them rebuild."
03:01,840;03:04,280;"Yeah."
03:04,280;03:07,560;"I mean, we need to find a way to despawn"
03:07,560;03:09,520;"these Ender Dragons."
03:09,520;03:10,840;"I don't know how to do it."
03:10,840;03:11,680;"I think I can do it."
03:11,680;03:14,480;"All right, drop out by using the little like nine thing"
03:14,480;03:16,720;"and right click, and then I'm gonna do a"
03:16,720;03:18,720;"Kill oh"
03:18,720;03:24,720;"Whoa you killed us I guess at E means all entities"
03:24,720;03:27,480;"Killed every entity"
03:27,480;03:30,320;"Like ants in here look at these fucking ants everywhere"
03:30,320;03:38,400;"Little glowy dots look at him. It was like killing ants. Oh my god, Zach. I thought E meant enemy"
03:38,400;03:45,000;"Now that I know that works I wonder if he got the gas working oh"
03:45,920;03:47,920;"Yeah, that'll be fun. Oh"
03:47,920;03:50,700;"He did"
03:50,700;03:53,140;"It's got the fireball"
03:53,140;03:58,640;"Am I the guest I'm a guest. Okay, there we go. I am a guac. I'm a gas"
03:58,640;04:02,560;"Yes, remember you should have a dress"
04:02,560;04:13,600;"I see you lighting those fire"
04:13,600;04:15,600;"What are you doing?"
04:15,600;04:21,900;"Look it's like it is like little watch these guys all the way down here. Look at him. You ready? Welcome to hell"
04:21,900;04:24,240;"evil"
04:24,240;04:27,600;"Oh my wonder how much time these guys spent building this place"
04:27,600;04:31,360;"Zaggy fucking asshole. He's not that guy"
04:31,360;04:38,220;"For the most part we were being non-destructive and zag rented"
04:39,440;04:44,120;"I just do nothing. Zach I said a rewind why did I say I said"
04:44,120;04:58,520;"Zach what did you do watch watch editor editor cut up Chris saying you could use that all you want editor be has"
04:58,520;05:00,520;"Zach like I just show it on screen"
05:00,520;05:07,440;"Editor put Chris and say like like chef of the depths of the south of the region is Chris's kept saying you can use the"
05:07,440;05:11,180;"You can use it you want to talk about"
05:11,180;05:18,060;"That's what you would say in the video. There's a bunch of guys hacking each other apart in here. Whoa"
05:18,060;05:21,560;"You fucking look at you"
05:21,560;05:24,480;"Keeps opening these holes"
05:24,480;05:28,160;"Through bedrock it's like"
05:28,160;05:34,800;"A lot of glitches when you have the whole"
05:35,880;05:39,580;"Yeah, I didn't know that this is where no one's gonna give you power in future"
05:39,580;05:48,500;"I didn't know you could hit the gas things back at them. That's so cool"
05:48,500;05:55,560;"You're having a little too much fun sec"
05:55,560;06:01,120;"Half of half the joy in the this and for half enjoy you guys responses"
06:01,120;06:03,120;"Make it be loud."
06:03,120;06:05,120;"*mumbling*"
06:05,120;06:07,120;"Can you be a chicken?"
06:07,120;06:09,120;"You can be a chicken."
06:09,120;06:11,120;"*mumbling*"
06:11,120;06:13,120;"*mumbling*"
06:13,120;06:15,120;"*mumbling*"
06:15,120;06:17,120;"*mumbling*"
06:17,120;06:19,120;"*mumbling*"
06:19,120;06:21,120;"I'm a Ravager. Whatever the fuck that is."
06:21,120;06:25,120;"I wish I knew how to kill a gas."
06:25,120;06:27,120;"I'm a guac."
06:27,120;06:29,120;"The lady was scary."
06:29,120;06:32,120;"Um, he just killed me."
06:32,120;06:34,120;"Why did that happen?"
06:34,120;06:38,120;"People keep falling through that gigantic endless void in the hell."
06:38,120;06:44,120;"Dude, ravages are fucking overpowered as hell."
06:44,120;06:45,120;"Oh, yeah, what do they do?"
06:45,120;06:47,120;"They're just big scary monsters."
06:47,120;06:50,120;"You punch people like four times and they die."
06:50,120;06:55,120;"Summon, llama, spit."
06:56,120;06:58,360;"It's an elder, guardian."
06:58,360;07:00,920;"He vokers."
07:00,920;07:02,240;"It seemed to work right."
07:02,240;07:03,920;"I'll be you."
07:03,920;07:05,320;"I don't know what you do."
07:05,320;07:08,640;"I'm now controlling any votes."
07:08,640;07:10,400;"Literally the llama's spit."
07:10,400;07:12,840;"OK, the lava's spit."
07:12,840;07:14,840;"Yeah, it's its own entity."
07:14,840;07:15,920;"Take off llama."
